기준연도,공시연도,자료연도,취업성과_자료시차,대학명,지역,설립구분,수도권/지방,대표/비교,분석그룹,입학정원,모집인원,지원자,입학자,정원내 신입생 충원율(%),경쟁률,졸업자,취업자,진학자,입대자,취업불가능자,외국인유학생,제외인정자,취업률_계산분모,취업률(%),취업률_원자료_평균,진학률(%),유지취업률_평균,졸업자_대비_취업자비율,졸업자_대비_진학자비율
2025,2025,2024,1,창신대학교,경남,사립,지방,비교대학,지방-사립-비교,345,345,2541,345,100.0,7.4,491,336,12,4,1,5,0,469,71.64,71.6,2.44,85.8,68.43,2.44
2023,2023,2022,1,충남대학교,대전,국립,지방,대표대학,지방-국립-대표,3584,3599,28793,3593,99.8,8.0,3872,2164,394,33,4,106,14,3321,65.16,65.2,10.18,88.35,55.89,10.18
2024,2024,2023,1,충남대학교,대전,국립,지방,대표대학,지방-국립-대표,3652,3656,32661,3650,99.8,8.9,3474,1830,473,30,1,102,15,2853,64.14,64.1,13.62,85.77,52.68,13.62
2025,2025,2024,1,충남대학교,대전,국립,지방,대표대학,지방-국립-대표,3778,3739,38520,3738,100.0,10.3,3552,1721,580,69,1,83,0,2819,61.05,61.1,16.33,86.57,48.45,16.33
2023,2023,2022,1,평택대학교,경기,사립,수도권,비교대학,수도권-사립-비교,805,813,5582,815,100.2,6.9,767,460,12,15,0,14,19,707,65.06,65.1,1.56,81.08,59.97,1.56
2024,2024,2023,1,평택대학교,경기,사립,수도권,비교대학,수도권-사립-비교,805,805,6298,807,100.2,7.8,847,411,14,8,0,123,15,687,59.83,59.8,1.65,81.08,48.52,1.65
2025,2025,2024,1,평택대학교,경기,사립,수도권,비교대학,수도권-사립-비교,833,831,7332,831,100.0,8.8,809,410,15,10,0,78,4,702,58.4,58.4,1.85,77.71,50.68,1.85
2023,2023,2022,1,한남대학교,대전,사립,지방,비교대학,지방-사립-비교,2715,2731,13759,2728,99.9,5.0,2362,1428,100,13,0,78,33,2138,66.79,66.8,4.23,83.5,60.46,4.23
2024,2024,2023,1,한남대학교,대전,사립,지방,비교대학,지방-사립-비교,2715,2716,13469,2714,99.9,5.0,2234,1300,119,11,0,64,18,2022,64.29,64.3,5.33,86.36,58.19,5.33
2025,2025,2024,1,한남대학교,대전,사립,지방,비교대학,지방-사립-비교,2715,2716,13760,2716,100.0,5.1,2330,1308,152,16,0,40,10,2112,61.93,61.9,6.52,81.7,56.14,6.52
2023,2023,2022,1,협성대학교,경기,사립,수도권,비교대학,수도권-사립-비교,1004,1008,7577,994,98.6,7.5,979,540,41,3,0,46,21,868,62.21,62.2,4.19,79.6,55.16,4.19
2024,2024,2023,1,협성대학교,경기,사립,수도권,비교대학,수도권-사립-비교,1004,1007,7673,1004,99.7,7.6,931,494,41,6,0,52,33,799,61.83,61.8,4.4,77.28,53.06,4.4
2025,2025,2024,1,협성대학교,경기,사립,수도권,비교대학,수도권-사립-비교,1004,1007,8319,1007,100.0,8.3,909,472,50,8,1,27,11,812,58.13,58.1,5.5,79.1,51.93,5.5
