공시연도,자료연도,대학명,지역,설립구분,수도권/지방,대표/비교,분석그룹,졸업자,취업자,진학자,입대자,취업불가능자,외국인유학생,제외인정자,취업률_계산분모,취업률(%),취업률_원자료_평균,취업률_원자료차이(%p),진학률(%),유지취업률_평균,원자료_행수
2023,2022,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,4033,2228,143,28,1,57,46,3758,59.29,59.3,0.01,3.55,79.89,1
2024,2023,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3857,1918,146,23,1,104,32,3551,54.01,54.0,0.01,3.79,79.02,1
2025,2024,대구대학교,경북,사립,지방,대표대학,지방-사립-대표,3771,1871,134,48,0,208,0,3381,55.34,55.3,0.04,3.55,79.62,1
2023,2022,동명대학교,부산,사립,지방,비교대학,지방-사립-비교,1727,1045,25,12,1,79,12,1598,65.39,65.4,0.01,1.45,83.59,1
2024,2023,동명대학교,부산,사립,지방,비교대학,지방-사립-비교,1637,894,23,15,0,123,15,1461,61.19,61.2,0.01,1.41,84.18,1
2025,2024,동명대학교,부산,사립,지방,비교대학,지방-사립-비교,1729,940,25,11,0,175,0,1518,61.92,61.9,0.02,1.45,83.3,1
2023,2022,동아대학교,부산,사립,지방,대표대학,지방-사립-대표,4264,2329,215,36,0,43,31,3939,59.13,59.1,0.03,5.04,82.42,1
2024,2023,동아대학교,부산,사립,지방,대표대학,지방-사립-대표,4178,2304,221,28,0,56,32,3841,59.98,60.0,0.02,5.29,81.76,1
2025,2024,동아대학교,부산,사립,지방,대표대학,지방-사립-대표,4183,2203,237,43,1,66,0,3836,57.43,57.4,0.03,5.67,83.43,1
2023,2022,부경대학교,부산,국립,지방,대표대학,지방-국립-대표,3870,1940,292,32,0,142,31,3373,57.52,57.5,0.02,7.55,85.36,1
2024,2023,부경대학교,부산,국립,지방,대표대학,지방-국립-대표,3451,1676,313,9,0,146,24,2959,56.64,56.6,0.04,9.07,86.1,1
2025,2024,부경대학교,부산,국립,지방,대표대학,지방-국립-대표,3461,1656,347,18,1,151,0,2944,56.25,56.3,0.05,10.03,85.9,1
2023,2022,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4832,2505,555,30,0,118,29,4100,61.1,61.1,0.0,11.49,88.68,1
2024,2023,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4278,2136,537,37,0,97,38,3569,59.85,59.8,0.05,12.55,85.28,1
2025,2024,부산대학교,부산,국립,지방,대표대학,지방-국립-대표,4176,1912,696,53,1,101,0,3325,57.5,57.5,0.0,16.67,88.18,1
2023,2022,부산외국어대학교,부산,사립,지방,대표대학,지방-사립-대표,1775,930,22,17,1,158,30,1547,60.12,60.1,0.02,1.24,77.16,1
