year,university,region,foundation_type,metro_local,representative_group,analysis_group,admission_quota,recruitment_quota,applicants,entrants,fill_rate,competition_rate,graduates,employed,advanced,employment_rate,advancement_rate,applicants_per_recruitment,entrants_per_recruitment
2023,충남대학교,대전,국립,지방,대표대학,지방-국립-대표,3584.0,3599.0,28793.0,3593.0,99.8,8.0,3872.0,2164.0,394.0,65.16,10.18,8.00027785495971,0.9983328702417338
2024,충남대학교,대전,국립,지방,대표대학,지방-국립-대표,3652.0,3656.0,32661.0,3650.0,99.8,8.9,3474.0,1830.0,473.0,64.14,13.62,8.933533916849015,0.9983588621444202
2025,충남대학교,대전,국립,지방,대표대학,지방-국립-대표,3778.0,3739.0,38520.0,3738.0,100.0,10.3,3552.0,1721.0,580.0,61.05,16.33,10.30221984487831,0.9997325488098422
2023,평택대학교,경기,사립,수도권,비교대학,수도권-사립-비교,805.0,813.0,5582.0,815.0,100.2,6.9,767.0,460.0,12.0,65.06,1.56,6.865928659286593,1.002460024600246
2024,평택대학교,경기,사립,수도권,비교대학,수도권-사립-비교,805.0,805.0,6298.0,807.0,100.2,7.8,847.0,411.0,14.0,59.83,1.65,7.823602484472049,1.0024844720496895
2025,평택대학교,경기,사립,수도권,비교대학,수도권-사립-비교,833.0,831.0,7332.0,831.0,100.0,8.8,809.0,410.0,15.0,58.4,1.85,8.823104693140793,1.0
2023,한남대학교,대전,사립,지방,비교대학,지방-사립-비교,2715.0,2731.0,13759.0,2728.0,99.9,5.0,2362.0,1428.0,100.0,66.79,4.23,5.038081288905163,0.9989015012815818
2024,한남대학교,대전,사립,지방,비교대학,지방-사립-비교,2715.0,2716.0,13469.0,2714.0,99.9,5.0,2234.0,1300.0,119.0,64.29,5.33,4.959131075110457,0.9992636229749632
2025,한남대학교,대전,사립,지방,비교대학,지방-사립-비교,2715.0,2716.0,13760.0,2716.0,100.0,5.1,2330.0,1308.0,152.0,61.93,6.52,5.0662739322533135,1.0
2023,협성대학교,경기,사립,수도권,비교대학,수도권-사립-비교,1004.0,1008.0,7577.0,994.0,98.6,7.5,979.0,540.0,41.0,62.21,4.19,7.516865079365079,0.9861111111111112
2024,협성대학교,경기,사립,수도권,비교대학,수도권-사립-비교,1004.0,1007.0,7673.0,1004.0,99.7,7.6,931.0,494.0,41.0,61.83,4.4,7.619662363455809,0.997020854021847
2025,협성대학교,경기,사립,수도권,비교대학,수도권-사립-비교,1004.0,1007.0,8319.0,1007.0,100.0,8.3,909.0,472.0,50.0,58.13,5.5,8.261171797418074,1.0
